time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
2.000013294861227e-009	4.002778e-006	9.897016e-001	4.384729e-003	3.151739e+000	1.517391e-001	2.472812e-006	7.803715e-006	8.993402e-005	7.859972e-006
2.000013548927955e-009	4.332592e-006	1.000000e+000	5.273814e-003	3.175426e+000	1.754265e-001	2.470651e-006	7.794229e-006	8.906341e-005	7.856674e-006
2.000013858213121e-009	5.034592e-006	1.000000e+000	7.307362e-003	3.202589e+000	2.025890e-001	2.466089e-006	7.774115e-006	8.510058e-005	7.849654e-006
2.000014226163416e-009	5.810930e-006	1.000000e+000	9.729785e-003	3.232638e+000	2.326377e-001	2.461107e-006	7.752005e-006	8.038606e-005	7.841891e-006
2.000014841677757e-009	6.983126e-006	1.000000e+000	1.378815e-002	3.276940e+000	2.769398e-001	2.453693e-006	7.718857e-006	7.249953e-005	7.830168e-006
2.000015546434536e-009	8.166287e-006	1.000000e+000	1.844230e-002	3.320362e+000	3.203617e-001	2.446324e-006	7.685654e-006	6.346955e-005	7.818337e-006
2.000016271440817e-009	9.206939e-006	1.000000e+000	2.323768e-002	3.357767e+000	3.577675e-001	2.439942e-006	7.656677e-006	5.418012e-005	7.807930e-006
2.000017009820943e-009	1.008278e-005	1.000000e+000	2.812811e-002	3.388717e+000	3.887171e-001	2.434644e-006	7.632455e-006	4.471933e-005	7.799173e-006
2.000017750126594e-009	1.077514e-005	1.000000e+000	3.303660e-002	3.412867e+000	4.128666e-001	2.430500e-006	7.613416e-006	3.523386e-005	7.792249e-006
2.000018492894997e-009	1.128274e-005	1.000000e+000	3.796546e-002	3.430395e+000	4.303949e-001	2.427488e-006	7.599518e-006	2.571684e-005	7.787173e-006
2.000019234891357e-009	1.162229e-005	1.000000e+000	4.289187e-002	3.441370e+000	4.413704e-001	2.425484e-006	7.590249e-006	1.620971e-005	7.783778e-006
