time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
0.000000000000000e+000	2.168404e-019	0.000000e+000	0.000000e+000	3.000000e+000	3.426079e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.937273054536057e-011	-4.440771e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.017727305453655e-010	-4.290741e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
3.041727305453520e-010	-4.155160e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
4.065727305453305e-010	-4.019778e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
5.089727305453313e-010	-3.884204e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
6.113727305453628e-010	-3.749267e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
7.137727305453942e-010	-3.613054e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
8.161727305454256e-010	-3.478278e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.185727305454570e-010	-3.342670e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.020972730545488e-009	-3.207029e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.123372730545520e-009	-3.091927e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.225772730545551e-009	-3.006667e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.328172730545583e-009	-2.918776e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.430572730545614e-009	-2.830125e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.532972730545645e-009	-2.742096e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.635372730545677e-009	-2.654392e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.737772730545708e-009	-2.566666e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.840172730545740e-009	-2.480024e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.942572730545771e-009	-2.392860e-014	0.000000e+000	0.000000e+000	3.000000e+000	2.220037e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.000000000000000e-009	-2.343014e-014	0.000000e+000	0.000000e+000	3.000000e+000	1.332259e-015	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.000000233380893e-009	1.310091e-007	0.000000e+000	0.000000e+000	3.002565e+000	2.565399e-003	2.499293e-006	7.917776e-006	2.990287e-006	7.898992e-006
2.000000700142679e-009	5.511097e-007	0.000000e+000	0.000000e+000	3.017725e+000	1.772534e-002	2.497032e-006	7.908198e-006	8.970860e-006	7.895761e-006
2.000000761039040e-009	6.188968e-007	0.000000e+000	0.000000e+000	3.019871e+000	1.987061e-002	2.496668e-006	7.906654e-006	9.751119e-006	7.895239e-006
2.000000882831763e-009	7.833893e-007	0.000000e+000	0.000000e+000	3.024823e+000	2.482319e-002	2.495788e-006	7.902914e-006	1.131164e-005	7.893974e-006
2.000001181696887e-009	1.252808e-006	0.000000e+000	0.000000e+000	3.040247e+000	4.024724e-002	2.493283e-006	7.892253e-006	1.514097e-005	7.890363e-006
2.000001254146767e-009	1.379137e-006	0.000000e+000	0.000000e+000	3.044266e+000	4.426633e-002	2.492611e-006	7.889390e-006	1.606926e-005	7.889391e-006
2.000001254146868e-009	1.379137e-006	2.500000e-001	0.000000e+000	3.044266e+000	4.426634e-002	2.492611e-006	7.889390e-006	1.606926e-005	7.889391e-006
2.000001254146968e-009	1.379137e-006	6.666667e-001	2.722766e-010	3.044266e+000	4.426634e-002	2.492611e-006	7.889390e-006	1.606926e-005	7.889391e-006
2.000001254147168e-009	1.379138e-006	1.000000e+000	1.525237e-009	3.044266e+000	4.426635e-002	2.492611e-006	7.889390e-006	1.606927e-005	7.889391e-006
2.000001254147568e-009	1.379138e-006	1.000000e+000	4.247516e-009	3.044266e+000	4.426635e-002	2.492611e-006	7.889390e-006	1.606927e-005	7.889391e-006
2.000001454762709e-009	1.513626e-006	1.000000e+000	1.311066e-003	3.048342e+000	4.834171e-002	2.491897e-006	7.886342e-006	1.863973e-005	7.888356e-006
2.000001655377851e-009	1.670387e-006	1.000000e+000	2.622495e-003	3.053098e+000	5.309795e-002	2.491068e-006	7.882797e-006	2.121020e-005	7.887151e-006
2.000001855992992e-009	1.849421e-006	1.000000e+000	3.934290e-003	3.058535e+000	5.853508e-002	2.490125e-006	7.878754e-006	2.378066e-005	7.885774e-006
2.000002056608134e-009	2.050728e-006	1.000000e+000	5.246452e-003	3.064653e+000	6.465308e-002	2.489068e-006	7.874215e-006	2.635112e-005	7.884225e-006
2.000002257223275e-009	2.274308e-006	1.000000e+000	6.558981e-003	3.071452e+000	7.145197e-002	2.487897e-006	7.869179e-006	2.892158e-005	7.882505e-006
2.000002457838417e-009	2.520162e-006	1.000000e+000	7.871876e-003	3.078932e+000	7.893174e-002	2.486611e-006	7.863646e-006	3.149205e-005	7.880614e-006
2.000002658453558e-009	2.788288e-006	1.000000e+000	9.185138e-003	3.087092e+000	8.709239e-002	2.485212e-006	7.857616e-006	3.406251e-005	7.878552e-006
2.000003341205352e-009	3.810036e-006	1.000000e+000	1.365814e-002	3.118622e+000	1.186219e-001	2.479928e-006	7.834738e-006	4.281054e-005	7.870693e-006
2.000003984694243e-009	4.959804e-006	1.000000e+000	1.787972e-002	3.153415e+000	1.534148e-001	2.474063e-006	7.809155e-006	5.105550e-005	7.861848e-006
2.000004692196397e-009	6.433098e-006	1.000000e+000	2.252880e-002	3.197430e+000	1.974302e-001	2.466666e-006	7.776617e-006	6.012066e-005	7.850515e-006
2.000005351377612e-009	7.999733e-006	1.000000e+000	2.686832e-002	3.243098e+000	2.430975e-001	2.458942e-006	7.742317e-006	6.856668e-005	7.838464e-006
2.000006056058746e-009	9.882122e-006	1.000000e+000	3.151680e-002	3.296827e+000	2.968267e-001	2.449844e-006	7.701506e-006	7.759569e-005	7.823984e-006
2.000006725466448e-009	1.186572e-005	1.000000e+000	3.594222e-002	3.351923e+000	3.519225e-001	2.440463e-006	7.658963e-006	8.617275e-005	7.808725e-006
2.000007427772677e-009	1.415169e-005	1.000000e+000	4.059594e-002	3.413777e+000	4.137768e-001	2.429899e-006	7.610515e-006	9.517133e-005	7.791141e-006
2.000008105077009e-009	1.655242e-005	1.000000e+000	4.509490e-002	3.476823e+000	4.768229e-001	2.419074e-006	7.560287e-006	1.038496e-004	7.772674e-006
2.000008375780293e-009	1.755806e-005	1.000000e+000	4.689550e-002	3.503040e+000	5.030404e-001	2.414592e-006	7.539370e-006	1.073181e-004	7.764938e-006
