time	V(vout1)	V(u1:n_state)	V(u1:r_hs)	V(u1:tsub)	V(u1:ttherm)	I(u1:B_ir)	I(u1:B_isw)	I(u1:B_ph)	abs(I(u1:L_kinetic))
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.937272951231459e-011	-6.722585e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.017727295123195e-010	-6.376270e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
3.041727295123060e-010	-6.030538e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
4.065727295122845e-010	-5.686001e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
5.089727295122853e-010	-5.398685e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
6.113727295123167e-010	-5.126146e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
7.137727295123482e-010	-4.854802e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
8.161727295123796e-010	-4.580561e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
9.185727295124110e-010	-4.323426e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.020972729512442e-009	-4.118415e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.123372729512474e-009	-3.912421e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.225772729512505e-009	-3.700440e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.328172729512537e-009	-3.490042e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.430572729512568e-009	-3.283819e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.532972729512599e-009	-3.091061e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.635372729512631e-009	-2.956270e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.737772729512662e-009	-2.822494e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.840172729512694e-009	-2.688550e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
1.942572729512725e-009	-2.553072e-014	0.000000e+000	0.000000e+000	3.000000e+000	0.000000e+000	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.000000000000000e-009	-2.476498e-014	0.000000e+000	0.000000e+000	3.000000e+000	4.440863e-016	2.500000e-006	7.920766e-006	0.000000e+000	7.900000e-006
2.000000149273551e-009	8.286180e-008	0.000000e+000	0.000000e+000	3.001051e+000	1.051119e-003	2.499709e-006	7.919536e-006	1.912628e-006	7.899585e-006
2.000000447820653e-009	3.525817e-007	0.000000e+000	0.000000e+000	3.007318e+000	7.318208e-003	2.498763e-006	7.915533e-006	5.737882e-006	7.898238e-006
2.000000522457429e-009	4.426298e-007	0.000000e+000	0.000000e+000	3.009143e+000	9.142762e-003	2.498447e-006	7.914199e-006	6.694197e-006	7.897786e-006
2.000000671730980e-009	6.891610e-007	0.000000e+000	0.000000e+000	3.013813e+000	1.381254e-002	2.497586e-006	7.910548e-006	8.606824e-006	7.896554e-006
2.000001007279429e-009	1.378753e-006	0.000000e+000	0.000000e+000	3.028834e+000	2.883442e-002	2.495183e-006	7.900347e-006	1.290617e-005	7.893106e-006
2.000001081282122e-009	1.560511e-006	0.000000e+000	0.000000e+000	3.032492e+000	3.249202e-002	2.494553e-006	7.897665e-006	1.385436e-005	7.892198e-006
2.000001290595689e-009	2.121601e-006	4.178925e-009	1.493181e-011	3.044266e+000	4.426634e-002	2.492611e-006	7.889390e-006	1.653628e-005	7.889392e-006
2.000013266026616e-009	7.827711e-006	9.926717e-001	4.123211e-003	3.151252e+000	1.512523e-001	2.473390e-006	7.806256e-006	9.100567e-005	7.860862e-006
2.000013444157464e-009	8.297784e-006	1.000000e+000	4.743074e-003	3.168175e+000	1.681748e-001	2.471846e-006	7.799487e-006	9.040583e-005	7.858512e-006
2.000013675270962e-009	9.379241e-006	1.000000e+000	6.261987e-003	3.189178e+000	1.891783e-001	2.468317e-006	7.783962e-006	8.744459e-005	7.853104e-006
2.000013947942211e-009	1.058206e-005	1.000000e+000	8.055961e-003	3.212677e+000	2.126773e-001	2.464433e-006	7.766781e-006	8.395088e-005	7.847089e-006
2.000014493284711e-009	1.280944e-005	1.000000e+000	1.164843e-002	3.254827e+000	2.548266e-001	2.457328e-006	7.735152e-006	7.696346e-005	7.835953e-006
2.000014993413485e-009	1.468611e-005	1.000000e+000	1.494753e-002	3.289629e+000	2.896290e-001	2.451421e-006	7.708677e-006	7.055536e-005	7.826569e-006
2.000015526236649e-009	1.648034e-005	1.000000e+000	1.846738e-002	3.322554e+000	3.225543e-001	2.445853e-006	7.683543e-006	6.372835e-005	7.817598e-006
2.000016137509906e-009	1.830078e-005	1.000000e+000	2.251057e-002	3.355135e+000	3.551349e-001	2.440275e-006	7.658204e-006	5.589616e-005	7.808496e-006
2.000016693985216e-009	1.973726e-005	1.000000e+000	2.619549e-002	3.380675e+000	3.806753e-001	2.435922e-006	7.638324e-006	4.876610e-005	7.801314e-006
2.000017307890887e-009	2.107580e-005	1.000000e+000	3.026469e-002	3.404027e+000	4.040270e-001	2.431907e-006	7.619893e-006	4.090018e-005	7.794621e-006
2.000017875474989e-009	2.208671e-005	1.000000e+000	3.402983e-002	3.421620e+000	4.216197e-001	2.428898e-006	7.606031e-006	3.362778e-005	7.789567e-006
2.000018483035536e-009	2.292468e-005	1.000000e+000	3.806271e-002	3.435987e+000	4.359869e-001	2.426420e-006	7.594580e-006	2.584317e-005	7.785377e-006
2.000019057109088e-009	2.348677e-005	1.000000e+000	4.187507e-002	3.445651e+000	4.456509e-001	2.424765e-006	7.586917e-006	1.848762e-005	7.782566e-006
2.000019921840263e-009	2.396467e-005	1.000000e+000	4.761963e-002	3.453304e+000	4.533040e-001	2.423364e-006	7.580414e-006	7.407905e-006	7.780177e-006
2.000020447035226e-009	2.401006e-005	1.000000e+000	5.110924e-002	3.453627e+000	4.536271e-001	2.423231e-006	7.579798e-006	2.284613e-006	7.779950e-006
2.000021027967445e-009	2.401504e-005	1.000000e+000	5.496923e-002	3.453627e+000	4.536270e-001	2.423216e-006	7.579730e-006	2.051442e-007	7.779925e-006
2.000021916192006e-009	2.401503e-005	1.000000e+000	6.087101e-002	3.453627e+000	4.536268e-001	2.423216e-006	7.579730e-006	0.000000e+000	7.779925e-006
2.004835078745007e-009	2.456707e-005	1.000000e+000	3.205446e+001	3.457962e+000	4.579624e-001	2.422487e-006	7.576527e-006	0.000000e+000	7.777165e-006
2.009648241298007e-009	2.617717e-005	1.000000e+000	6.403128e+001	3.469764e+000	4.697639e-001	2.420458e-006	7.567106e-006	0.000000e+000	7.769114e-006
2.014461403851008e-009	2.884533e-005	1.000000e+000	9.599136e+001	3.489031e+000	4.890313e-001	2.417130e-006	7.551467e-006	0.000000e+000	7.755773e-006
2.019274566404008e-009	3.257156e-005	1.000000e+000	1.279347e+002	3.515765e+000	5.157646e-001	2.412502e-006	7.529610e-006	0.000000e+000	7.737142e-006
2.024087728957008e-009	3.735585e-005	1.000000e+000	1.598612e+002	3.549964e+000	5.499639e-001	2.406575e-006	7.501535e-006	0.000000e+000	7.713220e-006
2.028900891510009e-009	4.319821e-005	1.000000e+000	1.917710e+002	3.591629e+000	5.916290e-001	2.399349e-006	7.467242e-006	0.000000e+000	7.684009e-006
2.033714054063009e-009	5.009864e-005	1.000000e+000	2.236641e+002	3.640760e+000	6.407601e-001	2.390823e-006	7.426731e-006	0.000000e+000	7.649507e-006
2.036514125438834e-009	5.451322e-005	1.000000e+000	2.421923e+002	3.671233e+000	6.712332e-001	2.385506e-006	7.401155e-006	0.000000e+000	7.627434e-006
2.041529767536801e-009	6.333167e-005	1.000000e+000	2.753734e+002	3.731814e+000	7.318144e-001	2.374924e-006	7.350031e-006	0.000000e+000	7.583341e-006
2.046545409634768e-009	7.297345e-005	1.000000e+000	3.084677e+002	3.795472e+000	7.954725e-001	2.363729e-006	7.295251e-006	0.000000e+000	7.535133e-006
2.051561051732736e-009	8.343853e-005	1.000000e+000	3.414754e+002	3.862207e+000	8.622075e-001	2.351922e-006	7.236813e-006	0.000000e+000	7.482807e-006
2.056576693830703e-009	9.472693e-005	1.000000e+000	3.743965e+002	3.932019e+000	9.320195e-001	2.339501e-006	7.174719e-006	0.000000e+000	7.426365e-006
2.061592335928670e-009	1.068386e-004	1.000000e+000	4.072309e+002	4.004908e+000	1.004908e+000	2.326469e-006	7.108968e-006	0.000000e+000	7.365807e-006
2.066607978026637e-009	1.197737e-004	1.000000e+000	4.399787e+002	4.080874e+000	1.080874e+000	2.312823e-006	7.039560e-006	0.000000e+000	7.301132e-006
2.071623620124605e-009	1.335320e-004	1.000000e+000	4.726399e+002	4.159917e+000	1.159917e+000	2.298565e-006	6.966495e-006	0.000000e+000	7.232340e-006
2.077685542137389e-009	1.510487e-004	1.000000e+000	5.119632e+002	4.256161e+000	1.256160e+000	2.281052e-006	6.875453e-006	0.000000e+000	7.144757e-006
2.083747464150174e-009	1.691999e-004	1.000000e+000	5.510041e+002	4.351716e+000	1.351716e+000	2.263529e-006	6.783577e-006	0.000000e+000	7.054000e-006
2.089809386162958e-009	1.879857e-004	1.000000e+000	5.897625e+002	4.446583e+000	1.446583e+000	2.245997e-006	6.690867e-006	0.000000e+000	6.960072e-006
2.095871308175743e-009	2.074060e-004	1.000000e+000	6.282384e+002	4.540762e+000	1.540762e+000	2.228457e-006	6.597323e-006	0.000000e+000	6.862970e-006
2.101933230188527e-009	2.274608e-004	1.000000e+000	6.664319e+002	4.634253e+000	1.634253e+000	2.210907e-006	6.502944e-006	0.000000e+000	6.762696e-006
2.107995152201312e-009	2.481502e-004	1.000000e+000	7.043429e+002	4.727055e+000	1.727055e+000	2.193349e-006	6.407731e-006	0.000000e+000	6.659249e-006
2.114057074214096e-009	2.694741e-004	1.000000e+000	7.419714e+002	4.819169e+000	1.819169e+000	2.175782e-006	6.311684e-006	0.000000e+000	6.552629e-006
2.114127866710573e-009	2.697233e-004	1.000000e+000	7.424080e+002	4.820220e+000	1.820221e+000	2.175580e-006	6.310581e-006	0.000000e+000	6.551383e-006
2.124283163064918e-009	3.064012e-004	1.000000e+000	8.047456e+002	4.968764e+000	1.968764e+000	2.146839e-006	6.151811e-006	0.000000e+000	6.367994e-006
2.134438459419263e-009	3.434451e-004	1.000000e+000	8.656688e+002	5.110142e+000	2.110142e+000	2.119223e-006	5.998784e-006	0.000000e+000	6.182774e-006
2.144593755773608e-009	3.808552e-004	1.000000e+000	9.251775e+002	5.244356e+000	2.244356e+000	2.092731e-006	5.851499e-006	0.000000e+000	5.995724e-006
2.154749052127953e-009	4.186314e-004	1.000000e+000	9.832718e+002	5.371405e+000	2.371405e+000	2.067363e-006	5.709957e-006	0.000000e+000	5.806843e-006
2.164904348482298e-009	4.567737e-004	1.000000e+000	1.039952e+003	5.491290e+000	2.491290e+000	2.043120e-006	5.574157e-006	0.000000e+000	5.616131e-006
2.175059644836643e-009	4.952822e-004	1.000000e+000	1.095217e+003	5.604010e+000	2.604009e+000	2.020001e-006	5.444100e-006	0.000000e+000	5.423589e-006
2.185214941190988e-009	5.341567e-004	1.000000e+000	1.149068e+003	5.709565e+000	2.709565e+000	1.998006e-006	5.319785e-006	0.000000e+000	5.229216e-006
2.185283623732525e-009	5.344172e-004	1.000000e+000	1.149425e+003	5.710252e+000	2.710252e+000	1.997863e-006	5.318979e-006	0.000000e+000	5.227914e-006
2.195386851689421e-009	5.728509e-004	1.000000e+000	1.201199e+003	5.807229e+000	2.807229e+000	1.977455e-006	5.204145e-006	0.000000e+000	5.035745e-006
2.205490079646317e-009	6.109977e-004	1.000000e+000	1.250968e+003	5.897890e+000	2.897890e+000	1.958261e-006	5.096288e-006	0.000000e+000	4.845011e-006
2.215593307603214e-009	6.488577e-004	1.000000e+000	1.298731e+003	5.982236e+000	2.982236e+000	1.940281e-006	4.995408e-006	0.000000e+000	4.655711e-006
2.225696535560110e-009	6.864309e-004	1.000000e+000	1.344489e+003	6.060265e+000	3.060265e+000	1.923515e-006	4.901506e-006	0.000000e+000	4.467845e-006
2.235799763517007e-009	7.237172e-004	1.000000e+000	1.388242e+003	6.131979e+000	3.131979e+000	1.907963e-006	4.814580e-006	0.000000e+000	4.281414e-006
2.245902991473903e-009	7.607166e-004	1.000000e+000	1.429990e+003	6.197377e+000	3.197377e+000	1.893625e-006	4.734631e-006	0.000000e+000	4.096417e-006
2.256006219430799e-009	7.974291e-004	1.000000e+000	1.469733e+003	6.256460e+000	3.256460e+000	1.880501e-006	4.661659e-006	0.000000e+000	3.912854e-006
2.256077508662970e-009	7.976851e-004	1.000000e+000	1.470004e+003	6.256862e+000	3.256862e+000	1.880412e-006	4.661164e-006	0.000000e+000	3.911574e-006
2.268676600935005e-009	8.429576e-004	1.000000e+000	1.516339e+003	6.322414e+000	3.322414e+000	1.865773e-006	4.580124e-006	0.000000e+000	3.685212e-006
2.281275693207039e-009	8.866401e-004	1.000000e+000	1.558894e+003	6.381625e+000	3.381625e+000	1.852508e-006	4.506805e-006	0.000000e+000	3.466799e-006
2.293874785479074e-009	9.287327e-004	1.000000e+000	1.597670e+003	6.434495e+000	3.434495e+000	1.840618e-006	4.441210e-006	0.000000e+000	3.256337e-006
2.306473877751108e-009	9.692353e-004	1.000000e+000	1.632666e+003	6.481024e+000	3.481024e+000	1.830102e-006	4.383336e-006	0.000000e+000	3.053824e-006
2.319072970023143e-009	1.008148e-003	1.000000e+000	1.663882e+003	6.521212e+000	3.521212e+000	1.820961e-006	4.333185e-006	0.000000e+000	2.859260e-006
2.331672062295177e-009	1.045471e-003	1.000000e+000	1.691318e+003	6.555060e+000	3.555060e+000	1.813193e-006	4.290757e-006	0.000000e+000	2.672647e-006
2.344271154567212e-009	1.081203e-003	1.000000e+000	1.714974e+003	6.582566e+000	3.582566e+000	1.806801e-006	4.256051e-006	0.000000e+000	2.493983e-006
